Title,Director,Cast,Genre,Sources,Year,Sources / notes,sources
Aag Aur Daag,A. Salaam,"Joy Mukherjee, Madan Puri",Action,1,1970,,
Aan Milo Sajna,Mukul Dutt,"Asha Parekh, Rajesh Khanna, Vinod Khanna",Drama,2,1970,,
Aansoo Aur Muskan,P. Madhavan,"Bindu, Padmini",Drama,3,1970,,
Abhinetri,Subodh Mukherjee,"Shashi Kapoor, Hema Malini, Deb Mukherjee",Drama,4,1970,,
Bachpan,Kotayya Pratyagatma,"Sanjeev Kumar, Tanuja",Drama,5,1970,,
Bhagwan Parshuram,Babubhai Mistri,"Abhi Bhattacharya, Jayshree Gadkar",Drama,6,1970,,
Bhai-Bhai,Raja Nawathe,"Sunil Dutt, Asha Parekh, Mumtaz, Pran",Drama,7,1970,,
Bombay Talkie,James Ivory,"Shashi Kapoor, Jennifer Kendal",,8,1970,,
Chetna,B.R. Ishara,"Shatrughan Sinha, Anil Dhawan",Action,9,1970,,
Choron Ka Chor,Mohammed Hussain,Madan Puri,Drama,10,1970,,
Darpan,Adurthi Subba Rao,"Sunil Dutt, Waheeda Rehman",Drama,11,1970,,
Dastak,Rajinder Singh Bedi,Sanjeev Kumar,Drama,12,1970,,
Deedar,Jugal Kishore,"Dheeraj Kumar, Anjana Choudhury",Drama,13,1970,,
Devi,Madhusudan Rao V.,"Nutan, Sanjeev Kumar, Madan Puri",Drama,14,1970,,
Dharti,Sridhar,"Rajendra Kumar, Waheeda Rehman",Action,15,1970,,
Ehsan,Shiv Kumar,"Helen, Aruna Irani",Drama,16,1970,,
Ek Nanhi Munni Ladki Thi,Vishram Bedekar,"Prithviraj Kapoor, Mumtaz, Helen",Drama,17,1970,,
Ganwaar,Naresh Kumar,"Vyjayanthimala, Rajendra Kumar, Pran",Romance,18,1970,,
Geet,Ramanand Sagar,"Rajendra Kumar, Mala Sinha, Sujeet Kumar",Drama,19,1970,,
Ghar Ghar Ki Kahani,T. Prakash Rao,"Balraj Sahani, Nirupa Roy, Rakesh Roshan, Bharathi Vishnuvardhan",Drama,20,1970,,
Gopi,A. Bhimsingh,"Dilip Kumar, Saira Banu, Om Prakash, Pran",,21,1970,,
Gunah Aur Kanoon,B.R. Ishara,"Sanjeev Kumar, Prithviraj Kapoor",Drama,22,1970,,
Heer Raanjha,Chetan Anand,"Prithviraj Kapoor, Raaj Kumar, Pran",Romance,23,1970,,
Himmat,Ravikant Nagaich,"Jeetendra, Mumtaz, Prem Chopra",Romance,24,1970,,
Holi Ayee Re,Harsukh Jagneshwar Bhatt,"Shatrughan Sinha, Mala Sinha",Romance,25,1970,,
Humjoli,Ramanna,"Jeetendra, Leena Chandavarkar, Pran",Comedy,26,1970,,
Insaan Aur Shaitan,Aspi Irani,"Sanjeev Kumar, Aruna Irani",Action,27,1970,,
Inspector,Chand,"Helen, Joy Mukherjee",Action,28,1970,,
Ishq Par Zor Nahin,Ramesh Saigal,"Dharmendra, Sadhana Shivdasani",Romance,29,1970,,
Jawab,Ramaana,"Mehmood Ali, Aruna Irani, Prem Chopra",Romance,30,1970,,
Jeevan Mrityu,Satyen Bose,"Dharmendra, Raakhee",Romance,31,1970,,
Johny Mera Naam,Vijay Anand,"Dev Anand, Hema Malini, Pran, Prem Nath",Crime Drama,32,1970,,
Kab? Kyoon? Aur Kahan?,Anil Hingorani,"Dharmendra, Babita, Pran",Mystery,33,1970,,
Khilona,Chander Vohra,"Jeetendra, Mumtaz, Sanjeev Kumar",Romance,34,1970,,
Maa Aur Mamta,Asit Sen,"Nutan, Ashok Kumar",Drama,35,1970,,
Maa Ka Aanchal,Jagdev Bhambri,"Sanjeev Kumar, Leela Mishra",Drama,36,1970,,
Maharaja,Naresh Saigal,"Sanjay Khan, Nutan, Nirupa Roy",Drama,37,1970,,
Man Ki Aankhen,Raghunath Jhalani,"Dharmendra, Waheeda Rehman",Drama,38,1970,,
Mastana,Adurthi Subba Rao,"Mehmood, Vinod Khanna, Bharathi Vishnuvardhan",Comedy,39,1970,,
Mera Naam Joker,Raj Kapoor,"Raj Kapoor, Rajendra Kumar, Manoj Kumar, Dharmendra, Simi Garewal, Rishi Kapoor","Drama, Musical",40,1970,,
Mere Humsafar,Dulal Guha,"Jeetendra, Sharmila Tagore",Romance,41,1970,,
Moojrim,Kewal Misra,"Joy Mukherjee, Kumud Chuggani",Action,42,1970,,
My Love,S. Sukhdev,"Shashi Kapoor, Sharmila Tagore",Romance,43,1970,,
Nanak Dukhiya Sab Sansar,Dara Singh,"Dara Singh, Balraj Sahni, Prithviraj Kapoor, Pran, Mumtaz",,44,1970,,
Naya Raasta,Khalid Akhtar,"Jeetendra, Asha Parekh, Farida Jalal",Drama,45,1970,,
Pagla Kahin Ka,Shakti Samanta,"Shammi Kapoor, Asha Parekh",Romance,46,1970,,
Pardesi,Kundan Kumar,Mumtaz,Drama,47,1970,,
Pavitra Paapi,Rajendra Bhatia,"Balraj Sahni, Tanuja",Drama,48,1970,,
Pehchan,Sohanlal Kanwar,"Manoj Kumar, Babita",Romance,49,1970,,
Prem Pujari,Dev Anand,"Dev Anand, Waheeda Rehman, Shatrughan Sinha",Romance,50,1970,,
Purab Aur Paschim,Manoj Kumar,"Manoj Kumar, Saira Banu, Bharathi Vishnuvardhan, Madan Puri, Pran, Prem Chopra",Drama,51,1970,,
Puraskar,,"Joy Mukherjee, Farida Jalal",Action,52,1970,,
Pushpanjali,Kishore Sahu,"Sanjay Khan, Prem Nath",Drama,53,1970,,
Raaton Ka Raja,,"Dheeraj Kumar, Shatrughan Sinha",Drama,54,1970,,
Rootha Na Karo,Sunder Dar,"Shashi Kapoor, Aruna Irani, Nanda",Romance,55,1970,,
Saas Bhi Kabhi Bahu Thi,,"Sanjay Khan, Leena Chandavarkar",Drama,56,1970,,
Sachaa Jhutha,Manmohan Desai,"Rajesh Khanna, Mumtaz, Vinod Khanna",Drama,57,1970,,
Safar,Asit Sen,"Sharmila Tagore, Ashok Kumar, Rajesh Khanna, Feroz Khan",Drama,58,1970,,
Samaj Ko Badal Dalo,Madhusudan Rao V.,"Aruna Irani, Sharada, Pran",Drama,59,1970,,
Sampoorna Teerth Yatra,Dhirubhai Desai,"Jaymala, Jeevan",Drama,60,1970,,
Sawan Bhadon,Mohan Segal,"Rekha, Navin Nischol",Drama,61,1970,,
Sharafat,Asit Sen,"Ashok Kumar, Dharmendra, Hema Malini",,62,1970,,
Soldier Thakur Daler Singh,Shyam,"Ajit Singh Deol, Dharmendra, Deepa, Om Prakash, Kumar Ajit, Mehmood",,63,1970,,
Suhana Safar,Vijay,"Shashi Kapoor, Sharmila Tagore",Drama,64,1970,,
The Train,Ravikant Nagaich,"Rajesh Khanna, Nanda, Helen, Madan Puri",Drama,65,1970,,
Truck Driver,,,,66,1970,,
Tum Haseen Main Jawaan,Bhappi Sonie,"Dharmendra, Hema Malini, Helen, Pran",Romance,67,1970,,
Umang,Atma Ram,"Subhash Ghai, Satish Kumar",Drama,68,1970,,
Yaadgaar,S. Ram Sharma,"Nutan, Manoj Kumar, Prem Chopra, Madan Puri, Pran",Drama,69,1970,,
Aap Aye Bahaar Ayee,Mohan Kumar,"Rajendra Kumar, Sadhna, Prem Chopra",Comedy,,1971,,
Adhikar,S.M. Sagar,"Ashok Kumar, Nanda, Deb Mukherjee, Pran",Drama,,1971,,
Albela,A. Shamsheer,"Mehmood Ali, Aruna Irani",Drama,,1971,,
Anand,Hrishikesh Mukherjee,"Rajesh Khanna, Amitabh Bachchan, Ramesh Deo, Sumita Sanyal",Drama,,1971,,
Andaz,Ramesh Sippy,"Shammi Kapoor, Hema Malini, Rajesh Khanna",Drama,,1971,,
Anubhav,Basu Bhattacharya,"Tanuja, Sanjeev Kumar",Drama,,1971,,
Badnam Basti,Prem Kapoor,"Nitin Sethi, Nadita Thakur",Drama,,1971,,
Badnam Farishte,,Sharmila Tagore,Drama,,1971,,
Balidaan,,"Saira Banu, Manoj Kumar",Drama,,1971,,
Banphool,Vijay Bhatt,"Jeetendra, Babita, Shatrughan Sinha",Romance,,1971,,
Beharoopia,Rajesh Nanda,Helen,Drama,,1971,,
Bikhare Moti,Tapi Chanakya,"Jeetendra, Babita",Romance,,1971,,
Buddha Mil Gaya,Hrishikesh Mukherjee,"Navin Nischol, Om Prakash, Archana",Drama,,1971,,
Caravan,Nasir Hussain,"Jeetendra, Asha Parekh, Aruna Irani",Romance,,1971,,
Chaahat,Homi Bhattacharya,"Jeetendra, Mumtaz, Mala Sinha",Romance,,1971,,
Chhoti Bahu,K.B. Tilak,"Rajesh Khanna, Sharmila Tagore",Drama,,1971,,
Do Boond Pani,Khwaja Ahmad Abbas,"Simi Garewal, Madhu Chanda, Jalal Agha",Drama,,1971,,
Do Raha,,"Shatrughan Sinha, Anil Dhawan",Drama,,1971,,
Door Ka Raahi,Kishore Kumar,"Tanuja, Kishore Kumar, Ashok Kumar",Drama,,1971,,
Dost Aur Dushman,Kewal Mishra,"Shatrughan Sinha, Rekha, Vinod Khanna",Drama,,1971,,
Ek Nari Ek Brahmachari,Kotayya Pratyagatma,"Jeetendra, Mumtaz, Aruna Irani",Comedy,,1971,,
Ek Paheli,Naresh Kumar,"Sanjeev Kumar, Feroz Khan, Aruna Irani",Thriller,,1971,,
Elaan,K. Ramanlal,"Vinod Mehra, Vinod Khanna, Rekha, Madan Puri",Thriller,,1971,,
Ek Thi Reeta,Roop K. Shorey,"Vinod Mehra, Tanuja, I. S. Johar, Rehman, Daisy Irani, Faryal, Lolita Chatterjee",Drama,,1971,,
Gambler,Amarpreet,"Dev Anand, Zaheeda, Shatrughan Sinha, Zaheera",Thriller,,1971,,
Ganga Tera Pani Amrit,,"Nirupa Roy, Narendra Nath, Pran",Drama,,1971,,
Guddi,Hrishikesh Mukherjee,"Dharmendra, Jaya Bhaduri, Pran",Romance,,1971,,
Haathi Mere Saathi,M.A. Thirumugham,"Rajesh Khanna, Tanuja",Romance,,1971,,
Hare Rama Hare Krishna,Dev Anand,"Dev Anand, Zeenat Aman, Mumtaz, Prem Chopra, Rajendra Nath",Drama,,1971,,
Haseenon Ka Devata,Ravikant Nagaich,"Sanjay Khan, Rekha, Helen",Drama,,1971,,
Hulchul,O. P. Ralhan,"Prem Chopra, Kabir Bedi, Zeenat Aman, Helen, Madan Puri",Thriller,,1971,,
Hum Tum Aur Woh,Shiv Kumar,"Vinod Khanna, Bharathi Vishnuvardhan",Drama,,1971,,
Hungama,,"Kishore Kumar, Vinod Khanna, Mumtaz",Comedy,,1971,,
Jaane-Anjaane,Shakti Samanta,"Shammi Kapoor, Vinod Khanna, Leena Chandavarkar",Drama,,1971,,
Jai Bangladesh,I. S. Johar,"Kabari Choudhury, Dilip Dutt",Drama,,1971,,
Jai Jawan Jai Makan,Vishram Bedekar,"Jaya Bhaduri, Anil Dhawan",Drama,,1971,,
Jal Bin Machhli Nritya Bin Bijli,Rajaram Vankudre Shantaram,"Dina Pathak, Abhijeet",Romance,,1971,,
Jawan Mohabbat,Bhappi Sonie,"Shammi Kapoor, Asha Parekh, Mumtaz, Pran",Romance,,1971,,
